id;BarLong;BarLat;Rayon;Weight;NbDays;Month;Year;Id
305;47.3666666667;-4.64518518518;253.838875866;3.0;1.0;4;2011;2011-04_2_I
306;55.6833333333;-3.78333333333;0.0;1.0;0.0;4;2011;2011-04_3_I
307;76.55;8.55;13.1393686496;2.0;0.0;6;2011;2011-06_1_I
308;51.25;9.3;0.0;1.0;0.0;6;2011;2011-06_2_I
309;42.8259722222;-4.3425;198.586325166;2.0;3.0;9;2011;2011-09_1_I
310;42.0794907407;-6.30226851852;470.988160081;6.0;28.0;10;2011;2011-10_1_I
311;50.375;0.775;19.736269674;2.0;0.0;10;2011;2011-10_2_I
312;56.2892592592;4.60009259259;202.515755521;3.0;21.0;10;2011;2011-10_3_I
313;59.0920833334;0.48263888889;114.650012344;2.0;9.0;10;2011;2011-10_4_I
314;47.1055555556;-4.71666666667;468.47145861;3.0;18.0;11;2011;2011-11_1_I
315;32.5175;29.8175;0.0;1.0;1.0;7;2011;2011-07_1_I
316;39.635;-4.05194444444;0.0;1.0;1.0;8;2011;2011-08_1_I
317;69.4;6.73333333333;0.0;1.0;1.0;2;2011;2011-02_1_I
318;76.05;10.0;0.0;1.0;1.0;11;2012;2012-11_1_I
319;73.1344444444;7.75083333333;378.568266447;2.0;1.0;3;2012;2012-03_1_I
320;51.8005555555;5.99027777778;177.539791153;2.0;7.0;3;2012;2012-03_2_I
321;49.3;-5.35;0.0;1.0;0.0;3;2012;2012-03_3_I
322;39.6352777778;-4.03583333333;0.0;1.0;0.0;5;2012;2012-05_1_I
323;56.4855555556;8.28527777778;0.0;1.0;0.0;5;2012;2012-05_2_I
324;32.5183333333;29.8336111111;0.0;1.0;0.0;5;2012;2012-05_3_I
325;32.55;29.8166666667;0.0;1.0;0.0;10;2012;2012-10_1_I
326;50.65;0.433333333333;0.0;1.0;0.0;10;2012;2012-10_2_I
327;63.3833333333;-4.94444444444;380.424604729;3.0;12.0;2;2012;2012-02_1_I
328;76.0333333333;9.95;0.0;1.0;0.0;2;2012;2012-02_2_I
329;46.0;1.61666666667;0.0;1.0;0.0;1;2012;2012-01_1_I
330;39.3333333333;-6.68333333333;0.0;1.0;0.0;1;2012;2012-01_2_I
331;58.2333333333;4.91666666667;0.0;1.0;0.0;1;2012;2012-01_3_I
332;76.1333333333;9.9;0.0;1.0;0.0;2;2013;2013-02_1_I
333;52.2838888889;7.23444444444;0.0;1.0;0.0;2;2013;2013-02_2_I
334;39.2855555556;-6.83472222222;0.0;1.0;1.0;3;2013;2013-03_1_I
335;32.55;29.8333333333;0.0;1.0;1.0;5;2013;2013-05_1_I
336;51.8502777778;3.11722222222;0.0;1.0;1.0;1;2013;2013-01_1_I
337;44.0180555556;0.868611111111;0.0;1.0;1.0;4;2013;2013-04_1_I
338;52.3166666667;4.65;0.0;1.0;1.0;10;2013;2013-10_1_I
339;47.7926388889;-6.49277777778;109.481288916;2.0;3.0;11;2013;2013-11_1_I
340;76.15;9.93333333333;0.0;1.0;1.0;3;2014;2014-03_1_I
341;39.2833333333;-6.81666666667;0.0;1.0;1.0;1;2014;2014-01_1_I
342;76.1347222222;9.88416666667;0.0;1.0;1.0;4;2014;2014-04_1_I
343;44.5666666667;1.11666666667;0.0;1.0;1.0;2;2014;2014-02_1_I
