Harbor;Latitude;Longitude
finnartoilterm;N 56 07;W 004 50
flotta;N 58 50;W 003 08
fraserburgh%20harbour;N 57 42;W 001 60
garston;N 53 21;W 002 54
GIBRALTAR;N 36 08;W 005 22
glasgow;N 55 53;W 004 21
goole;N 53 42;W 000 53
grangemouth;N 56 02;W 003 43
GRAVESEND;N 51 27;E 000 23
greatyarmouth;N 52 35;E 001 45
greenock;N 55 57;W 004 44
grimsby;N 53 34;W 000 04
gunness;N 53 36;W 000 43
hartlepool;N 54 42;W 001 12
harwich;N 51 57;E 001 16
heysham;N 54 02;W 002 55
holyhead;N 53 20;W 004 37
houndpoint;N 56 02;W 003 19
hughtown;N 49 55;W 006 19
humber;N 53 42;W 000 22
immingham;N 53 39;W 000 12
ipswich;N 52 02;E 001 09
Jerseyuk;N 49 11;W 002 07
kingstonuponhull;N 53 44;W 000 17
kirkwall;N 58 59;W 002 58
larne;N 54 51;W 005 48
leighton;N 53 44;W 000 51
lerwick;N 60 10;W 001 09
liverpool;N 53 26;W 003 00
LONDON;N 51 30;W 000 03
londonderry;N 55 05;W 007 07
lowestoft;N 52 28;E 001 44
lymington;N 50 45;W 001 32
milfordhaven;N 51 42;W 005 01
mistley;N 51 57;E 001 05
mossbank;N 60 28;W 001 12
mostyn;N 53 19;W 003 16
newportuk;N 51 33;W 002 59
NORTHFLEET;N 51 27;E 000 20
oban;N 56 25;W 005 29
penzance;N 50 07;W 005 32
plymouth;N 50 23;W 004 09
poole;N 50 43;W 001 59
portlanduk;N 50 34;W 002 26
portsmouth;N 50 49;W 001 07
porttalbot;N 51 35;W 003 48
PURFLEET;N 51 28;E 000 16
ramsgate;N 51 20;E 001 25
rosyth;N 56 01;W 003 27
runcorn;N 53 20;W 002 45
scapaflow;N 58 53;W 003 05
scarboroughuk;N 54 17;W 000 23
sharpness;N 51 43;W 002 29
SHEERNESS;N 51 27;E 000 44
shoreham;N 50 50;W 000 14
southampton;N 50 54;W 001 25
southshields;N 54 60;W 001 26
southstifford;N 51 28;E 000 18
stanlow;N 53 17;W 002 51
stpeterport;N 49 27;W 002 32
stromness;N 58 58;W 003 18
sullomvoe;N 60 27;W 001 17
sunderland;N 54 55;W 001 23
swansea;N 51 37;W 003 55
symbister;N 60 21;W 001 02
teesport;N 54 37;W 001 11
THAMESPORT;N 51 26;E 000 41
TILBURY;N 51 28;E 000 22
tyne;N 54 59;W 001 32
ulsta;N 60 30;W 001 09
weymouth;N 50 36;W 002 27
yarmouth;N 50 42;W 001 30
albany;N 42 36;W 073 45
alexandriala;N 31 20;W 092 29
anacortes;N 48 30;W 122 37
anchorage;N 61 14;W 149 54
annapolis;N 38 59;W 076 29
astoria;N 46 12;W 123 49
baltimore;N 39 13;W 076 33
batonrouge;N 30 26;W 091 11
beaumont;N 30 04;W 094 04
bellingham;N 48 44;W 122 30
bigbend;N 27 48;W 082 24
boston;N 42 21;W 071 01
breakwater;N 38 47;W 075 07
bremerton;N 47 33;W 122 39
bridgeportct;N 41 10;W 073 10
bristolus;N 41 40;W 071 17
brownsville;N 26 00;W 097 18
brunswick;N 31 06;W 081 27
cairoilusa;N 37 01;W 089 10
cameron;N 29 48;W 093 20
capegirardeau;N 37 17;W 089 30
channahonil;N 41 25;W 088 12
charleston;N 32 49;W 079 53
charlestonoregon;N 43 21;W 124 19
cheboygan;N 45 39;W 084 28
chicago;N 41 45;W 087 37
cincinnati;N 39 07;W 084 34
clarksvilletn;N 36 31;W 087 22
clatskanieor;N 46 11;W 123 11
cleveland;N 41 30;W 081 41
coeymans;N 42 29;W 073 47
coosbay;N 43 23;W 124 12
corpuschristi;N 27 45;W 097 17
decatural;N 34 38;W 087 01
detroit;N 42 13;W 083 03
duluth;N 46 44;W 092 06
dutchharbor;N 53 53;W 166 32
evansvillein;N 37 58;W 087 35
everettwa;N 47 59;W 122 13
fallriverr;N 41 42;W 071 11
ferndale;N 48 51;W 122 44
fortlauderdale;N 26 05;W 080 08
freeport;N 28 56;W 095 20
fridayharbour;N 48 32;W 123 00
galveston;N 29 19;W 094 48
gloucester;N 42 37;W 070 39
goldenmeadow;N 29 23;W 090 16
greenville%20(mississippi,%20US);N 33 24;W 091 08
groton;N 41 21;W 072 05
gulfport;N 30 21;W 089 05
hilo;N 19 44;W 155 04
honolulu;N 21 19;W 157 54
houma;N 29 34;W 090 42
houston;N 29 38;W 095 04
huntsvilleal;N 34 34;W 086 33
iberia;N 29 56;W 091 50
intracoastalcity;N 29 47;W 092 09
jacksonville;N 30 24;W 081 28
jamestown;N 41 30;W 071 22
kahului;N 21 19;W 158 07
kalama;N 46 02;W 122 52
keywest;N 24 33;W 081 46
krotzsprings;N 30 32;W 091 44
lakecharles;N 30 07;W 093 17
larose;N 29 34;W 090 23
lemont;N 41 40;W 088 01
lewes;N 38 47;W 075 10
little%20rock;N 34 45;W 092 15
longview;N 46 07;W 122 58
losangeles;N 33 45;W 118 12
louisville;N 38 15;W 085 46
manatee;N 27 38;W 082 34
matagorda;N 28 39;W 096 03
memphis;N 35 06;W 090 08
miami;N 25 46;W 080 12
milwaukee;N 43 01;W 087 54
usmob;N 30 38;W 088 01
moreheadcity;N 34 43;W 076 42
morgancity;N 29 40;W 091 10
nashvilletn;N 36 14;W 086 45
natchez;N 31 35;W 091 25
newbedford;N 41 38;W 070 55
newburgh;N 41 29;W 074 00
newhaven;N 41 17;W 072 54
newlondon;N 41 21;W 072 06
neworleans;N 29 47;W 089 56
newportbeach;N 33 36;W 117 54
newportoregon;N 44 38;W 124 03
newportus;N 41 29;W 071 20
newyork;N 40 40;W 074 05
nikiski;N 60 42;W 151 21
norfolk;N 36 54;W 076 13
oakland;N 37 48;W 122 17
olympia;N 47 03;W 122 55
orangetx;N 30 05;W 093 44
paducah;N 37 05;W 088 35
palmbeach;N 26 48;W 080 04
panamacity;N 30 09;W 085 42
pascagoula;N 30 21;W 088 32
pearlharbour;N 21 21;W 157 58
pensacola;N 30 22;W 087 09
philadelphia;N 39 48;W 075 19
pittsburgh;N 40 26;W 080 00
pointcomfort;N 28 39;W 096 34
portangeles;N 48 08;W 123 26
portarthur;N 29 51;W 093 55
portcanaveral;N 28 25;W 080 33
portfourchon;N 29 07;W 090 11
hueneme;N 34 09;W 119 13
porthuron;N 42 57;W 082 25
portisabel;N 26 04;W 097 12
portland;N 43 38;W 070 15
portlandoregon;N 45 35;W 122 42
portlavaca;N 28 37;W 096 37
portnechestx;N 30 01;W 093 58
portoconnor;N 28 24;W 096 29
portsmouthnh;N 43 06;W 070 46
providence;N 41 48;W 071 23
quincy;N 42 14;W 070 58
redriverlanding;N 30 59;W 091 40
roxanail;N 38 51;W 090 07
saintlouis;N 38 36;W 090 12
sandiego;N 32 39;W 117 15
sanfrancisco;N 37 48;W 122 24
savannah;N 31 60;W 080 58
seattle;N 47 40;W 122 34
solomons;N 38 20;W 076 27
staugustine;N 29 54;W 081 18
stockton;N 37 57;W 121 20
st.%20petersburg%20(florida);N 27 46;W 082 38
stthomas;N 18 20;W 064 56
tacoma;N 47 16;W 122 24
tampa;N 27 56;W 082 26
texascity;N 29 22;W 094 54
toledo;N 41 41;W 083 28
valdez;N 61 06;W 146 24
vancouverwa;N 45 39;W 122 41
venicelouisiana;N 29 16;W 089 20
vicksburg;N 32 19;W 090 55
victoriatx;N 28 41;W 096 58
westhaven;N 41 17;W 072 55
wilmington;N 34 10;W 077 56
yonkers;N 40 56;W 073 54
limetreebay;N 17 42;W 064 45
montevideo;S 34 54;W 056 13
altagracia;N 10 45;W 071 32
amuaybay;N 11 45;W 070 15
cabimas;N 10 22;W 071 27
elpalito;N 10 29;W 068 07
guiria;N 10 34;W 062 18
joseterminal;N 10 06;W 064 52
maracaibo;N 10 36;W 071 37
moron;N 10 30;W 068 09
puertocabello;N 10 29;W 067 60
puertolacruz;N 10 14;W 064 39
puerto%20ordaz;N 08 20;W 062 45
puntacardon;N 11 37;W 070 14
puntofijo;N 11 41;W 070 14
danang;N 16 07;E 108 14
haiphong;N 20 54;E 106 40
hochiminh;N 10 43;E 106 46
phumy;N 10 35;E 107 01
aden;N 12 49;E 044 56
hodeidah;N 14 50;E 042 56
