Harbor;Latitude;Longitude
jiaxingpowerplant;N 30 38;E 121 09
jieyang;N 23 30;E 116 24
jinhu;N 24 25;E 118 26
jinshanweizhen;N 30 42;E 121 19
jitou;N 26 28;E 119 37
lanshan;N 35 04;E 119 25
lianyungang;N 34 45;E 119 25
ligangyard;N 30 04;E 121 50
longhai;N 24 26;E 117 50
longkou;N 37 39;E 120 17
longshanshipyard;N 29 47;E 122 06
longxueshipyard;N 22 41;E 113 39
longyan;N 37 25;E 122 38
luchaogangferry;N 30 50;E 121 49
luozhou;N 26 02;E 119 29
lvhuashan;N 30 49;E 122 38
macau;N 22 10;E 113 33
majishan;N 30 40;E 122 25
maoming;N 21 31;E 111 03
meizhou;N 25 04;E 119 07
nanbu;N 31 34;E 121 30
nanjing;N 32 09;E 118 51
nansha;N 22 38;E 113 40
nantong;N 31 55;E 120 52
ningbo;N 29 56;E 121 51
pingtan;N 25 31;E 119 47
punan;N 24 34;E 118 11
putian;N 25 13;E 118 59
Qianaobu;N 23 13;E 116 47
qiantangrivverdelta;N 29 29;E 121 35
qingdao;N 36 03;E 120 16
qinhuangdao;N 39 55;E 119 38
qinzhou;N 21 43;E 108 36
quanzhou;N 24 52;E 118 38
rizhao;N 35 22;E 119 33
ruian;N 27 44;E 120 40
sajiangriverdelta;N 26 51;E 119 41
sanshan;N 31 16;E 118 12
sanshui;N 23 09;E 112 52
shajiazhuang;N 37 50;E 120 44
shanghai;N 31 19;E 121 26
shantou;N 23 20;E 116 43
shanwei;N 22 46;E 115 21
shekou;N 22 28;E 113 54
shengsi;N 30 44;E 122 27
shenhuzhen;N 24 38;E 118 41
shenzhen;N 22 30;E 113 56
shidao;N 36 52;E 122 27
shijingzhen;N 24 38;E 118 26
shunde;N 22 47;E 113 18
suizhong;N 40 04;E 120 02
taicang;N 31 25;E 121 05
tangshan;N 39 13;E 119 02
tangshancao;N 39 05;E 118 31
taohua;N 29 49;E 122 16
tianjin;N 38 59;E 117 43
tianjinshipyard;N 38 48;E 121 08
weihai;N 37 28;E 122 12
weitou;N 24 31;E 118 34
weizhoudao;N 21 03;E 109 05
wenzhou;N 27 59;E 120 48
wuhan;N 30 35;E 114 19
xiamen;N 24 29;E 118 02
xiaolan;N 22 40;E 113 16
xiaoyangxiang;N 30 37;E 122 04
xinhui;N 22 26;E 113 02
xiushanisland;N 30 09;E 122 09
yangjiang;N 21 42;E 111 49
yangpu;N 19 44;E 109 10
yangzhou;N 32 17;E 119 33
yantai;N 37 34;E 121 23
yantian;N 22 34;E 114 16
yingkou;N 40 17;E 122 06
yiulianshekoudockyards;N 22 30;E 113 50
yongningzhen;N 24 40;E 118 41
yueqing;N 28 10;E 121 06
zhangjiagang;N 31 57;E 120 36
zhanjiang;N 21 13;E 110 25
zhaoqing;N 23 02;E 112 28
zhapu;N 30 35;E 121 05
zhenjiang;N 32 12;E 119 31
zhoushan;N 29 60;E 122 03
zhuhai;N 22 16;E 113 35
barranquilla;N 10 60;W 074 47
buenaventura;N 03 54;W 077 04
cartagena;N 10 21;W 075 31
covenas;N 09 28;W 075 44
Santa%20Marta;N 11 15;W 074 13
pointenoire;S 04 47;E 011 50
caldera;N 09 55;W 084 43
puertolimon;N 09 59;W 083 01
abidjan;N 05 18;W 004 02
kostrena;N 45 19;E 014 29
kraljevica;N 45 16;E 014 34
omisalj;N 45 13;E 014 32
plomin;N 45 08;E 014 11
rijeka;N 45 20;E 014 26
rogac;N 43 24;E 016 18
split;N 43 31;E 016 26
famagusta;N 35 08;E 033 57
larnacaoffshore;N 34 57;E 033 40
larnaka;N 34 55;E 033 39
limassol;N 34 39;E 033 01
aalborg;N 57 03;E 009 56
AARHUS;N 56 09;E 010 14
allinge;N 55 17;E 014 48
apenrade;N 55 03;E 009 26
aroskobing;N 54 54;E 010 25
assens;N 55 16;E 009 53
avedore;N 55 36;E 012 29
bagenkop;N 54 45;E 010 40
KOPENHAGEN;N 55 42;E 012 37
dragor;N 55 35;E 012 41
esbjerg;N 55 28;E 008 26
FREDERICIA;N 55 33;E 009 45
frederikshavn;N 57 26;E 010 33
frederiksvaerk;N 55 58;E 012 01
fynshav;N 54 60;E 009 59
gedser;N 54 34;E 011 56
gilleleje;N 56 08;E 012 19
grenaa;N 56 25;E 010 56
hanstholm;N 57 07;E 008 36
havneby;N 55 05;E 008 34
helsingor;N 56 02;E 012 37
hirtshals;N 57 36;E 009 58
horsens;N 55 51;E 009 52
hov;N 55 55;E 010 15
hvidesande;N 56 00;E 008 08
kalundborg;N 55 40;E 011 05
koge;N 55 28;E 012 12
kolbykas;N 55 48;E 010 32
kolding;N 55 30;E 009 30
korsoer;N 55 20;E 011 08
marstal;N 54 51;E 010 31
middelfart;N 55 30;E 009 44
nakskov;N 54 50;E 011 08
nexoebornholm;N 55 04;E 015 08
nyborg;N 55 18;E 010 48
oesterby;N 57 19;E 011 07
osthavnen;N 57 03;E 010 03
rodby;N 54 39;E 011 21
roenne;N 55 06;E 014 41
rudkoebing;N 54 56;E 010 43
skagen;N 57 43;E 010 35
snaptun;N 55 49;E 010 03
sobydk;N 54 57;E 010 15
sonderborg;N 54 55;E 009 47
spodsbjerg;N 54 56;E 010 50
stevnspier;N 55 19;E 012 27
strandby;N 57 30;E 010 30
svendborg;N 55 04;E 010 37
tejnbornholm;N 55 15;E 014 50
thisted;N 56 57;E 008 42
thorsminde;N 56 22;E 008 07
tyboroen;N 56 42;E 008 13
vejle;N 55 42;E 009 33
vigeroe;N 55 28;E 010 33
djibouti;N 11 36;E 043 07
roseau;N 15 18;W 061 23
barahona;N 18 12;W 071 05
caborojo;N 17 56;W 071 39
caucedo;N 18 26;W 069 38
haina;N 18 25;W 070 01
laromana;N 18 25;W 068 55
lascalderas;N 18 13;W 070 31
puertoplata;N 19 49;W 070 43
samana;N 19 12;W 069 20
sanpedromacoris;N 18 27;W 069 19
santodomingo;N 18 29;W 069 53
esmeraldas;N 00 59;W 079 39
guayaquil;S 02 16;W 079 56
lalibertad;S 02 11;W 080 53
manta;S 00 56;W 080 43
monteverde;S 02 04;W 080 45
posorja;S 02 42;W 080 15
puertobolivar;S 03 16;W 080 00
abuqir;N 31 19;E 030 05
adabiya;N 29 53;E 032 28
ainsukhna%20;N 29 39;E 032 21
alexandria;N 31 09;E 029 51
damietta;N 31 28;E 031 46
nuwaiba;N 28 58;E 034 40
portsaid;N 31 14;E 032 20
sidikerir;N 31 07;E 029 35
suez;N 29 57;E 032 33
bata;N 01 50;E 009 44
luba;N 03 29;E 008 33
malabo;N 03 46;E 008 47
puntaeuropa;N 03 46;E 008 43
kuivastu;N 58 34;E 023 24
kunda;N 59 31;E 026 33
miiduranna;N 59 30;E 024 49
MUUGA;N 59 30;E 024 58
oti;N 59 34;E 024 48
paldiski;N 59 21;E 024 04
paernu;N 58 23;E 024 29
rohukula%20;N 58 54;E 023 25
roomassaare;N 58 13;E 022 30
sillamae;N 59 25;E 027 44
TALLINN;N 59 27;E 024 42
virtsu;N 58 35;E 023 30
suva;S 18 08;E 178 26
eckero;N 60 14;E 019 32
ekenas;N 59 59;E 023 26
hamina;N 60 33;E 027 10
hanko;N 59 49;E 022 57
HELSINKI;N 60 08;E 024 57
inkoo;N 60 01;E 023 55
joensuu;N 62 35;E 029 45
joutseno;N 61 08;E 028 27
kantvik;N 60 05;E 024 22
kaskinen;N 62 22;E 021 13
kemi;N 65 42;E 024 36
kokkola;N 63 51;E 023 03
kotka;N 60 28;E 026 56
kuopio;N 62 52;E 027 41
lappeenranta;N 61 04;E 028 12
loviisa;N 60 26;E 026 15
maentyluoto;N 61 36;E 021 29
mariehamn;N 60 06;E 019 56
naantali;N 60 27;E 022 03
oulu;N 65 01;E 025 27
pietarsaarijakobstad;N 63 42;E 022 42
porvoo;N 60 20;E 025 35
raahe;N 64 40;E 024 25
rahja;N 64 13;E 023 42
rauma;N 61 07;E 021 27
savonlinna;N 61 53;E 028 53
siilinjarvi;N 63 05;E 027 43
tahkoluoto;N 61 38;E 021 24
tornio;N 65 46;E 024 10
turku;N 60 27;E 022 10
uusikaupunki;N 60 48;E 021 22
vaasa;N 63 05;E 021 36
varkaus;N 62 19;E 027 54
vuoksenterminal;N 61 14;E 028 49
antibes;N 43 35;E 007 08
antifer;N 49 40;E 000 08
caenouistreham;N 49 14;W 000 17
calais;N 50 58;E 001 52
cannes;N 43 33;E 007 02
cherbourg;N 49 39;W 001 37
concarneau;N 47 52;W 003 55
cordemais;N 47 17;W 001 53
dunkirk;N 51 02;E 002 16
fessenheim;N 47 54;E 007 34
FOSSURMER;N 43 25;E 004 53
golfejuan;N 43 34;E 007 05
honfleur;N 49 26;E 000 13
laciotat;N 43 10;E 005 37
larochelle;N 46 09;W 001 14
laseynesurmer;N 43 06;E 005 54
LEHAVRE;N 49 27;E 000 19
marseille;N 43 20;E 005 20
nantes;N 47 12;W 001 37
noirmoutier;N 47 02;W 002 18
paris;N 48 57;E 002 17
PORTDEBOUC;N 43 24;E 005 00
portlanouvelle;N 43 01;E 003 03
rouen;N 49 24;E 001 03
saintmalo;N 48 39;W 002 01
saintmandrier;N 43 05;E 005 55
saintnazaire;N 47 12;W 002 15
SETE;N 43 24;E 003 43
stbarth;N 17 54;W 062 52
caplopezoilterm;S 00 38;E 008 43
portgentil;S 00 44;E 008 48
portgentiloil;S 00 41;E 008 47
Batumi;N 41 39;E 041 39
poti;N 42 09;E 041 39
ahlbeck;N 53 57;E 014 12
amrum;N 54 38;E 008 23
aschaffenburg;N 49 59;E 009 05
bamberg;N 49 55;E 010 52
bensersiel;N 53 41;E 007 34
bonn;N 50 45;E 007 06
borkum;N 53 34;E 006 45
BRAKE;N 53 21;E 008 29
breiholz;N 54 13;E 009 34
breisachamrhein;N 48 01;E 007 35
BREMEN;N 53 05;E 008 47
bremenfarge;N 53 12;E 008 31
bremerhaven;N 53 33;E 008 34
BRUNSBUETTEL;N 53 54;E 009 10
buesum;N 54 07;E 008 52
BUETZFLETH;N 53 39;E 009 31
burgstaaken;N 54 25;E 011 11
calvoerde;N 52 24;E 011 17
castroprauxel;N 51 35;E 007 17
CUXHAVEN;N 53 52;E 008 52
dagebuell;N 54 44;E 008 42
deggendorf;N 48 49;E 012 57
ditzum;N 53 19;E 007 17
dormagen;N 51 05;E 006 51
dorsten;N 51 40;E 006 59
dorumersiel;N 53 41;E 007 29
dorumneufeld;N 53 44;E 008 31
duesseldorf;N 51 14;E 006 45
DUISBURG;N 51 25;E 006 45
eckernfoerde;N 54 28;E 009 51
emden;N 53 21;E 007 11
emmerich;N 51 50;E 006 15
erlangen;N 49 35;E 010 59
fassmerwerft;N 53 11;E 008 33
ferryfischerhuettes;N 54 09;E 009 22
flensburg;N 54 48;E 009 27
frankfurtammain;N 50 07;E 008 44
friedrichskoog;N 54 00;E 008 53
geesthacht;N 53 26;E 010 21
GLUECKSTADT;N 53 47;E 009 25
groemitz;N 54 08;E 010 57
gruenendeich;N 53 35;E 009 36
haldensleben;N 52 17;E 011 24
HAMBURG;N 53 31;E 009 56
hanau;N 50 07;E 008 55
harlesiel;N 53 42;E 007 49
heiligenhafen;N 54 22;E 010 60
HELGOLAND;N 54 11;E 007 54
hochdonn;N 54 01;E 009 18
hoernum;N 54 46;E 008 18
husum;N 54 28;E 009 02
juist;N 53 40;E 006 60
kappeln;N 54 39;E 009 56
karlsruhe;N 49 01;E 008 19
kelheim;N 48 55;E 011 55
KIEL;N 54 22;E 010 11
koeln;N 50 56;E 006 58
koenigswinter;N 50 41;E 007 11
kuehlungsborn;N 54 09;E 011 46
langeoog;N 53 44;E 007 30
lauenburg;N 53 22;E 010 34
leer;N 53 13;E 007 27
leverkusen;N 51 01;E 006 58
listsylt;N 55 01;E 008 26
lubmin;N 54 09;E 013 40
ludwigshafen;N 49 30;E 008 26
LUEBECK;N 53 53;E 010 45
lueneburg;N 53 14;E 010 29
maasholm;N 54 41;E 009 59
magdeburg;N 52 10;E 011 40
mainz;N 50 01;E 008 15
mannheim;N 49 29;E 008 29
marl;N 51 41;E 007 05
moelln;N 53 38;E 010 41
moormerland;N 53 20;E 007 20
