Harbor;Latitude;Longitude;Latitude2;Longitude2
huizhou;N 22 43;E 114 35;22.7166666667;114.583333333
hukou;N 23 11;E 116 39;23.1833333333;116.65
huludao;N 40 43;E 120 59;40.7166666667;120.983333333
jiahongkonglogistics;N 30 39;E 121 11;30.65;121.183333333
jiangmen;N 22 38;E 113 07;22.6333333333;113.116666667
Jiangyin;N 31 57;E 120 15;31.95;120.25
jiaojiang;N 28 41;E 121 24;28.6833333333;121.4
jiaxingpowerplant;N 30 38;E 121 09;30.6333333333;121.15
jieyang;N 23 30;E 116 24;23.5;116.4
jinhu;N 24 25;E 118 26;24.4166666667;118.433333333
jinshanweizhen;N 30 42;E 121 19;30.7;121.316666667
jitou;N 26 28;E 119 37;26.4666666667;119.616666667
lanshan;N 35 04;E 119 25;35.0666666667;119.416666667
lianyungang;N 34 45;E 119 25;34.75;119.416666667
ligangyard;N 30 04;E 121 50;30.0666666667;121.833333333
longhai;N 24 26;E 117 50;24.4333333333;117.833333333
longkou;N 37 39;E 120 17;37.65;120.283333333
longshanshipyard;N 29 47;E 122 06;29.7833333333;122.1
longxueshipyard;N 22 41;E 113 39;22.6833333333;113.65
longyan;N 37 25;E 122 38;37.4166666667;122.633333333
luchaogangferry;N 30 50;E 121 49;30.8333333333;121.816666667
luozhou;N 26 02;E 119 29;26.0333333333;119.483333333
lvhuashan;N 30 49;E 122 38;30.8166666667;122.633333333
macau;N 22 10;E 113 33;22.1666666667;113.55
majishan;N 30 40;E 122 25;30.6666666667;122.416666667
maoming;N 21 31;E 111 03;21.5166666667;111.05
meizhou;N 25 04;E 119 07;25.0666666667;119.116666667
nanbu;N 31 34;E 121 30;31.5666666667;121.5
nanjing;N 32 09;E 118 51;32.15;118.85
nansha;N 22 38;E 113 40;22.6333333333;113.666666667
nantong;N 31 55;E 120 52;31.9166666667;120.866666667
ningbo;N 29 56;E 121 51;29.9333333333;121.85
pingtan;N 25 31;E 119 47;25.5166666667;119.783333333
punan;N 24 34;E 118 11;24.5666666667;118.183333333
putian;N 25 13;E 118 59;25.2166666667;118.983333333
Qianaobu;N 23 13;E 116 47;23.2166666667;116.783333333
qiantangrivverdelta;N 29 29;E 121 35;29.4833333333;121.583333333
qingdao;N 36 03;E 120 16;36.05;120.266666667
qinhuangdao;N 39 55;E 119 38;39.9166666667;119.633333333
qinzhou;N 21 43;E 108 36;21.7166666667;108.6
quanzhou;N 24 52;E 118 38;24.8666666667;118.633333333
rizhao;N 35 22;E 119 33;35.3666666667;119.55
ruian;N 27 44;E 120 40;27.7333333333;120.666666667
sajiangriverdelta;N 26 51;E 119 41;26.85;119.683333333
sanshan;N 31 16;E 118 12;31.2666666667;118.2
sanshui;N 23 09;E 112 52;23.15;112.866666667
shajiazhuang;N 37 50;E 120 44;37.8333333333;120.733333333
shanghai;N 31 19;E 121 26;31.3166666667;121.433333333
shantou;N 23 20;E 116 43;23.3333333333;116.716666667
shanwei;N 22 46;E 115 21;22.7666666667;115.35
shekou;N 22 28;E 113 54;22.4666666667;113.9
shengsi;N 30 44;E 122 27;30.7333333333;122.45
shenhuzhen;N 24 38;E 118 41;24.6333333333;118.683333333
shenzhen;N 22 30;E 113 56;22.5;113.933333333
shidao;N 36 52;E 122 27;36.8666666667;122.45
shijingzhen;N 24 38;E 118 26;24.6333333333;118.433333333
shunde;N 22 47;E 113 18;22.7833333333;113.3
suizhong;N 40 04;E 120 02;40.0666666667;120.033333333
taicang;N 31 25;E 121 05;31.4166666667;121.083333333
tangshan;N 39 13;E 119 02;39.2166666667;119.033333333
tangshancao;N 39 05;E 118 31;39.0833333333;118.516666667
taohua;N 29 49;E 122 16;29.8166666667;122.266666667
tianjin;N 38 59;E 117 43;38.9833333333;117.716666667
tianjinshipyard;N 38 48;E 121 08;38.8;121.133333333
weihai;N 37 28;E 122 12;37.4666666667;122.2
weitou;N 24 31;E 118 34;24.5166666667;118.566666667
weizhoudao;N 21 03;E 109 05;21.05;109.083333333
wenzhou;N 27 59;E 120 48;27.9833333333;120.8
wuhan;N 30 35;E 114 19;30.5833333333;114.316666667
xiamen;N 24 29;E 118 02;24.4833333333;118.033333333
xiaolan;N 22 40;E 113 16;22.6666666667;113.266666667
xiaoyangxiang;N 30 37;E 122 04;30.6166666667;122.066666667
xinhui;N 22 26;E 113 02;22.4333333333;113.033333333
xiushanisland;N 30 09;E 122 09;30.15;122.15
yangjiang;N 21 42;E 111 49;21.7;111.816666667
yangpu;N 19 44;E 109 10;19.7333333333;109.166666667
yangzhou;N 32 17;E 119 33;32.2833333333;119.55
yantai;N 37 34;E 121 23;37.5666666667;121.383333333
